Job ID,Job Link,Resume Tried,Date listed,Date Tried,Assumed Reason,Stack Trace,External Job link,Screenshot Name
4393407337,https://www.linkedin.com/jobs/view/4393407337,Previous resume,2026-04-02 12:32:18.675202,2026-04-02 13:32:23.991254,Problem in Easy Applying,Easy Apply modal did not open,Easy Applied,Not Available
4393035642,https://www.linkedin.com/jobs/view/4393035642,Pending,2026-04-02 01:32:33.081316,2026-04-02 13:32:33.122179,Found a Bad Word in About Job,"
About the job
Location: Melton (Hybrid)

Salary: Up to £50,000

Working hours:09:00 – 17:30

The purpose of this role is to solve complex business problems and technical challenges through the design and development of software applications and services. This role will contribute directly towards exciting technology opportunities in the public health sector; specifically in general practice.

You will be responsible for building and maintaining critical components of our software infrastructure, ensuring high performance, reliability, and security. This role sits within the platform team.

Responsibilities

Design and Development

Contribute towards the design, develop, and implement high-performance, scalable, and maintainable applications and services
Develop APIs and other web services
Work with databases (relational and NoSQL) to implement data models
Contribute towards all phases of the software development lifecycle, from design and development through to testing, deployment and monitoring & alerting

Technical Leadership

Assist and unblock other members of the team where appropriate
Conduct code reviews and provide constructive feedback
Contribute towards the development of software engineering best practices and principles
Participate in architectural and design discussions
Stay abreast of the latest technologies and industry trends

Problem-Solving

Assist with the diagnosis and assessment of complex technical issues
Identify and contribute towards solutions designed to improve service or component security, performance, scalability, and reliability

Collaboration

Work closely with frontend engineers, product managers, and other stakeholders
Share ideas and prompt continuous improvement across the team

Quality Assurance & Compliance

Write unit tests and integration tests to ensure code quality
Participate in code reviews and ensure adherence to coding standards
Comply with the company's Health & Safety, Data Protection, Information Security, PCI & DSP policies and procedures.

Essential

Skills Required

Knowledge of the product development lifecycle
Considerable working experience with modern PHP including frameworks (e.g. Laravel)
Source control (e.g. GitLab)
Working experience with structured and unstructured databases (e.g. MySQL)
Knowledge of or working experience with Message Queues (RabbitMQ) & event driven architecture
Strong knowledge of software design patterns and object-oriented design principles
Working experience of unit test frameworks and test automation

Desired

Strong expertise in Agile methodologies (e.g. Scrum / Kanban)
DevOps tooling
Node.js
Healthcare industry experience (NHS)
VOIP call handling

Benefits

25 Days Holiday plus an additional day for your birthday/equivalent
Cycle to Work Scheme
Winter Flu Jabs
Free On-Site Parking
Learning and development budget with Professional Qualification Support
£1,000 employee referral bonus
Social benefits (paid social events)
Buy Holiday Scheme
Employee Assistance Program
Discount on Health Insurance
Annual Salary Review
Enhanced Company Sick Pay
Monthly pizza in the office (Hybrid employees) / coffee voucher (Remote employees)
SCG mobile benefit

SCG is proud to be an equal opportunities employer.

 We welcome applications from all parts of the community and are committed to upholding the principles of the Equality Act 2010.

We are committed to supporting applicants with disabilities. We will endeavour to make necessary adjustments to ensure a fair and accessible recruitment process

Contains bad word ""PHP"". Skipping this job!
",Skipped,Not Available
4394393533,https://www.linkedin.com/jobs/view/4394393533,Pending,2026-04-01 14:33:26.713860,2026-04-02 13:33:26.748744,Found a Bad Word in About Job,"
About the job
Salary $77,000 - $90,000 plus Super 
Full Time Employment

About Quantaco

Hospitality moves fast the tools should keep up too. At Quantaco, we’re building technology that empowers hospitality businesses to work smarter, not harder. No more disconnected systems that slow you down and create extra work.

Australia’s only locally owned and operated Hospitality Management System, designed to simplify processes, save time, and deliver actionable insights for venues of any size.

Our suite of software and service solutions is optimised to work best together but designed to function independently, delivering the actionable insights and financial reporting pubs, clubs, and restaurants need to thrive.

We empower businesses through expert accounting services, real-time reporting, and connected hospitality operations tools. These tools simplify work, save time, and help venues make decisions that drive growth whether it’s one venue or one hundred.

About The Role

The primary purpose of the Software Developer is to manage the design, installation, testing and maintenance of software systems for our Cooking the Books (CTB) design suite.

This role will be responsible for excellent technical support and the development of software improvements for existing CTB programs or providing entirely new programs for release to the market.

What You’ll Do

Maintain and improve the performance of CTB’s existing software and maintain its’ websites, in-house hardware and network systems

Test, maintain and recommend software improvements to ensure strong functionality and optimisation

Review current systems and identify ideas to improve system performance and impact availability, including cost proposals

Facilitate root cause analysis of system issues and faults;

Resolve complex technical design issues;

Test new products or software improvement releases in a controlled environment before going live;

Proactively seek to continuously understand the design characteristics offered by key competitors; developing design concepts that surpass competitors;

Work closely with analysts, designers and staff to ensure programs operate effectively;

Assist with the preparation of training manuals for users;

Analyse user requirements and convert requirements to design documents;

Provide comprehensive support to internal customers, including achieving resolution to outstanding problems or issues;

Develop and implement new software;

Assist the Marketing department with preparation of digital design collateral in line with CTB’s brand guidelines;

Automate repetitive technical tasks

About You

You are organised and a fast learner

You have a mature, design-led approach to software development

Integrity, honesty, trust, and respect

Self-motivated, but you love working in a team

Innovative and always looking for ways to improve

You’re an effective communicator, patient, and able to explain your point of view

Have a degree in Computer Science or equivalent

Have 2+ years’ experience in C# and.Net Framework;

Possess strong technical knowledge of web technologies (Javascript, CSS, HTML, etc.);

Are proficient in C#, ASP.NET MVC and Web API

Have knowledge of ASP.NET Core, ADO.net and ORMs (EntityFramework, Dapper.net, NHibernate)

Have knowledge of Databases: SQL Server, PostgreSQL (Store Procedures, and NoSql: Redis and MongoGB)

Are proficient in JavaScript frameworks: AngularJs, VueJs, and ExtJs

Possess knowledge of Microsoft Azure cloud platform (App Service, Service Bus, Service Fabric)

Have experience with Source Code Control: SVN and GIT

Have a demonstrated understanding of projects from the perspective of both client and busines

Possess proficient verbal and written communication skills;

Have effective time management skills and the ability to meet deadlines

Have the ability to solve problems by being collaborative, creative and analytical

Why Join Us?

At Quantaco, we’re passionate about building technology that solves real-world problems in hospitality. Our team is collaborative, curious, and committed to making an impact and we want you to grow with us.

Reward: Competitive salary + up to 20% discretionary performance bonus
Wellbeing: Hybrid working, birthday leave, and wellness discounts through our benefits portal
Culture: Fortnightly collaboration days, social calendar, team events, peer recognition, and a strong commitment to inclusion
Growth: Study assistance, a structured development framework, and our Women at Quantaco initiative to support diverse career progression

Ready to build the future of hospitality tech?

Apply now or reach out for a confidential chat. We’d love to meet you.

Quantaco Pty Ltd, Level 4 / 6 O'Connell Street Sydney NSW 2000

Contains bad word "".NET"". Skipping this job!
",Skipped,Not Available
4385010312,https://www.linkedin.com/jobs/view/4385010312,Pending,2026-03-19 13:33:30.837948,2026-04-02 13:33:30.878813,Asking for Security clearance,"
About the job
At BAE Systems Australia 

Do interesting work that MATTERS
ENJOY what you do
GROW your career
Be YOU

We work in a thriving sector – one that puts us at the forefront of exciting and meaningful work. Every day we push boundaries to produce some of the world’s most innovative and groundbreaking technology. Individually we all contribute to our success. Collectively we make the impossible possible.

Recognised for delivering projects of global and national significance that help keep Australia safe, it is our shared passion that shapes our culture, and our people that make it a great place to work.

About The OPPORTUNITY

We have a great opportunity for multiple Software Engineers to join our Strategic Surveillance Program based at Adelaide – South Australia or Melbourne Central – Victoria, reporting to the Senior Software Engineer.

We embrace flexible work arrangements at BAE Systems Australia, such as working a 9-day fortnight and or hybrid working.

You will bring with you demonstrated previous skills and experience in the development of specialised software systems. Within our HF Export programs, you’ll work on areas such as UX development, SW design and architecture, and signal processing. We have a growing team with the opportunity to constantly learn and carve out your niche in an area that interests you. You’ll have interactions with many other teams and stakeholders, as well as engineers in other disciplines, and have opportunities to travel internationally. We’re a strong team that takes pride in what we do and how we work together, with a lot to offer a software engineer looking to expand their skillset.

Key responsibilities include

Conduct software engineering in accordance with the Software Development Plan
Writing high quality, maintainable software including generation of design and test documentation
Active participation in all Scrum ceremonies each sprint, including planning, stand-ups, reviews, and retrospectives, contributing to continuous improvement and team collaboration.

About YOU

Strong understanding of the Software Development lifecycle
Knowledge/experience in one or more of the following technologies:
Strong working knowledge of C/C++ Programming language (preferably on Linux)
Full Stack development with strong front-end and back-end development skills (HTML, CSS, JavaScript, React, or similar modern frameworks).
Experience with RESTful APIs, authentication, and third-party integrations.
Experience with a variety of communications libraries, e.g. Apache Kafka and DDS, in environments with very high data throughput
Expertise in Containers, Kubernetes
Strong working knowledge of programming on a Linux framework
Development experience with the Qt framework is desirable
Experience as part of an agile/scrum team
Familiarity with Configuration and Change Management principles and tools, such as Git
Strong analytical and troubleshooting skills
Defence security clearance or eligibility to obtain a NV1 clearance
Eligibility to be cleared for International Traffic In Arms (ITAR) regulations
We believe in hiring for potential, we know that some candidates hesitate if they don’t tick all the boxes. If this role interests you, but you don’t meet all the criteria, we still encourage you to apply.

About US

You will be joining a workplace that truly cares about your wellbeing.

Our people are diverse and we value the variety of perspectives this brings, we know that a culture that is inclusive and fosters a sense of belonging is a place we can all make the most of our unique talents and be our best.

As Australia’s largest defence company in a rapidly growing sector, you will be connected into a global team and encouraged to explore where your career might take you whether that is a traditional career path or squiggly one, there are infinite possibilities for you at BAE Systems Australia.

BAE Systems recognises the sacrifices of those who have served our Nation and their families. We support our veteran community through our internal veteran network (VetNet Australia) and strong charitable partnerships, internal offerings including reserve service leave, a Veteran Mentoring Program and other exclusive offerings available through our strategic partners.

We welcome applicants from all people regardless of sex, gender identity, race, ethnicity, disability, pregnancy, age, or other lived experience; and strongly encourage applications from Aboriginal and Torres Strait Islander people for all positions.

We are proud to be recognised as an employer of choice for women by WORK180.

Awarded the 2024 Quarter 1 Benchmarcx Triple R- Excellence In Candidate Experience Certification. As a member of the Circle Back Initiative we commit to respond to every applicant.

To learn more about our competitive employee benefits, flexibility, other employment opportunities and what to expect from our recruitment process please visit: www.baesystemscareers.com.au

Clearances 

As a Defence security clearance is required for this role, applicants must be Australian citizens and either possess or be eligible to obtain and maintain appropriate clearances. Further information regarding security clearances.

International Traffic In Arms Regulations (ITAR) are applicable and as such, your nationality may be a factor in determining your suitability for this role. Please visit this webpage for more information.

Found ""Clearance"" or ""Polygraph"". Skipping this job!
",Skipped,Not Available
4392592776,https://www.linkedin.com/jobs/view/4392592776,Previous resume,2026-03-31 13:33:44.658110,2026-04-02 13:33:50.542469,Problem in Easy Applying,Easy Apply modal did not open,Easy Applied,Not Available
4391691450,https://www.linkedin.com/jobs/view/4391691450,Pending,2026-03-30 13:34:15.636780,2026-04-02 13:34:15.676647,Found a Bad Word in About Job,"
About the job
What is in it for you?
  Be part of large-scale transformation programs delivering modern cloud solutions
Work with cutting-edge AWS and DevOps technologies
Collaborate with high-performing cross-functional teams
Opportunities available across Brisbane, Melbourne, and Canberra


 
What we need from you
  Strong experience with Amazon Web Services (AWS)
Hands-on experience with CI/CD pipelines and Infrastructure as Code (IaC)
Experience with Azure DevOps (Build & Release pipelines - Classic/YAML)
Proficiency in JSON/YAML for configuration and deployments
Solid Linux administration and shell scripting skills
Experience in creating technical documentation and runbooks
Strong problem-solving and stakeholder communication skills


 
Role
 
We are seeking an experienced Cloud Engineer (AWS) to join a high-performing team delivering innovative and secure cloud solutions. You will act as a subject matter expert, contributing to key technical decisions and solving complex challenges across multiple projects.
 


 
Responsibilities:
  Participate in business and technology transformation initiatives
Define project scope, requirements, and technical specifications
Develop proof of concepts, solution designs, and estimates
Implement and support cloud-based solutions and deployments
Collaborate across teams to drive delivery and change management
Provide technical leadership and best practice guidance


 
Nice to have:
  Exposure to .NET Full Stack Development
Experience in Cloud Automation / DevOps practices
Understanding of Cloud Enterprise Architecture
Experience in IT Infrastructure Operations & Cloud Services Management

 
Talented, committed, can-do individuals have always been the cornerstone of this dynamic organization. If you have what it takes to thrive in this role and want to know more, please reach out to Sneha on 0406504263 OR Sneha.singh@akkodis.com 
 
 
 
Privacy
 
Due to new privacy laws regarding the collection and handling of personal information, all applications must be submitted online. Once you click on the ""apply for this job"" button below you will be directed to our Online Centre where you will have the opportunity to read and agree to our Privacy and Consent statements and it will allow your details to be formally lodged and processed correctly.
 


 
""Akkodis is an Equal Opportunity employer, committed to all forms of workforce inclusion. We actively invite and encourage applications by candidates from diverse backgrounds""

Contains bad word "".NET"". Skipping this job!
",Skipped,Not Available
4343066234,https://www.linkedin.com/jobs/view/4343066234,Pending,2026-01-02 13:34:53.727455,2026-04-02 13:34:53.779281,Found a Bad Word in About Job,"
About the job
Who We Are:

Spawnpoint Media is at the forefront of digital entertainment, spearheading innovation in content creation across YouTube channels and media brands within the realms of gaming, Minecraft, and Live Action content. With a passionate community of over 23 million followers, we've amassed more than 6 billion views and over 57 thousand years of content watched globally. We strive to maintain the soul, love, joy, and personality of youth in our content and are committed to our mission of leaving a lasting impact on families across the globe.

Who You Are

Our team is seeking a skilled and creative Java Game Developer, who can work with our incredible team of Minecraft Set Designers and Java Developers to bring YouTube scripts and storyboards to life in an interactive and exciting way through custom Minecraft Mods.

This is a casual position, working remotely.

Your Responsibilities And Skills

Minecraft Mod Programming: Develop and compile Minecraft: Java Edition mods based on provided YouTube scripts, encompassing various elements such as blocks, items, mobs, entities, UI, commands, and custom gameplay features.
Custom Functionality Implementation: Design blocks, items, mobs, and entities with unique functionalities and AI behaviour, enhancing gameplay dynamics within Minecraft.
UI and Command Customization: Create custom Minecraft UI elements and commands to enrich the player experience and introduce new gameplay mechanics.
Crafting Methods and Recipes: Implement custom crafting methods and recipes beyond the default Crafting Table, introducing novel crafting mechanics and item interactions.
Engaging Gameplay Design: Craft interesting and unique gameplay moments and level designs within the scripts, ensuring audience engagement and interest throughout the Minecraft experience.
Video Storyboard Scripts: Identifying mod requirements and tasks from video storyboard scripts
Collaborative Set Design Support: Collaborate with the Set Design team to develop mods that complement and enhance the physical set designs, facilitating efficient and practical script implementation.
Integration with Modellers: Work closely with Modellers to integrate code and gameplay mechanics into tangible Minecraft models, bringing virtual elements to life within the game environment.
Audience-Centric Mod Development: Develop mods that resonate with the core audience of the videos, primarily young children, by ensuring visual appeal and engaging gameplay functionalities.

Requirements:

Minimal requirement - v1.20+ modding experience
Proficient in Java programming language
Developing Minecraft mods for NeoForge in Java, typically on Minecraft 1.20.1 utilising existing/pre-provided assets
Must be familiar with Eclipse and/or Intellij Java IDEs.
Full understanding of Minecraft and all game mechanics
Translate design ideas into functional game code
Troubleshooting and rectifying issues with developed mods
Understands how to navigate and read through technical documentation online in order to advance one's understanding of the subject matter and/or resolve bugs.
Ability to interpret instructions and create modded content from pre-existing visual assets in a relatively quick turnaround
Ability to investigate and resolve basic modding issues both in your own code and others
Ability to read and interpret Minecraft crash reports and log files to identify issues
Familiarity with GeckoLib and its usage as a dependency in modding
Ability to understand feedback and act on it.

Preferable Additional Skills

Understands what a JSON file is and how to create or edit one (loot tables, tags, etc)
Experience working in Java Edition/Datapacks/1.17+ Command Syntax/NBT data
Understands basic Minecraft related development terms, such as entity, datapack, addon, behaviours, components, function, animation controllers, etc
Understands basic programming logic/design (scoreboard loops, execute if’s, operators, etc).
Familiar with Blockbench (or Cubik Studio/some other modelling program)
Familiar with Aseprite, Paint.net, Photoshop, or some other form of editing software.
Ability to make small modifications or changes to existing models/assets in the event it is needed

Spawnpoint Perks:

Attractive Remuneration
Spawn Points KPI bonus Program
Training & Development
Career Progression

Our Offer

If you’re excited to develop some of the most-loved content on the internet and bring smiles to millions of young people across the globe; whilst working alongside a highly skilled and fun-loving team; passionate about all things YouTube and gaming, then what are you waiting for? We really love working here, and we think you will too! Apply now!

Contains bad word "".NET"". Skipping this job!
",Skipped,Not Available
4375284485,https://www.linkedin.com/jobs/view/4375284485,Pending,2026-03-28 13:36:03.305366,2026-04-02 13:36:03.346230,Asking for Security clearance,"
About the job
Description

Life Days are the Leidos way of recognising that we all need extra time to take care of life. By working slightly more than the minimum weekly hours (2 hours per week for full-timers), you can accrue up to12 days of leave per year.
Leidos Life Hubprovides access to discount offers or cashback rewards with over 400 Australian and International retailers.
Due to the nature of the role, you must be an Australian Citizen and hold an active NV-2 AGVSA Security Clearance.
We are seeking both contractors and permanent team members.

Our team feel Leidos is a great place to work. Learn more about our culture and benefits by visiting us here https://www.leidos.com/company/global/australia/careers

Do Work That Matters

Leidos Australia delivers IT and airborne solutions that protect and advance the Australian way of life. Our 2000 local experts, backed by our global experience and network of partners, are working to solve the world’s toughest challenges in government, intelligence, defence, aviation, border protection and health markets.

Your New Role And Responsibilities

AtLeidos Australia, our Matrix Engineering Team is a hub of technical excellence, supporting mission-critical programs across Defence, Intelligence, and Federal Government portfolios.

We’re anticipating increased workload to support upcoming projects and are building a pipeline of talented professionals. If you hold an active NV-2 Australian Government Security Clearance, your skills may align with a range of Leidos customer opportunities. By submitting an Expression of Interest, you’ll be considered for future roles that match your experience, with suitable applicants contacted within 2–6 weeks.

As a ServiceNow Engineer, You Will

Configure, develop, and maintain the ServiceNow platform across core modules including ITSM, ITOM, and ITAM
Design and enhance solutions using out-of-the-box ServiceNow capabilities, ensuring performance, security, and scalability
Support platform sustainment activities such as incident resolution, defect fixes, upgrades, and Evergreen readiness
Build and maintain integrations and data flows using REST/SOAP APIs and import sets in line with architectural standards
Collaborate with cross-functional teams in an Agile delivery environment to deliver high-quality technical solutions

What You’ll Bring To Make An Impact

Proven hands-on experience as a ServiceNow Engineer, Developer, or System Administrator in a medium to large enterprise
Strong technical skills in ServiceNow configuration and development, including business rules, scripts, workflows/Flow Designer, UI policies, and forms
Experience supporting ITSM processes and working within ITIL-aligned service management environments
Exposure to ServiceNow integrations, APIs, and data management
Strong communication skills with the ability to work effectively with both technical and non-technical stakeholders

Don’t worry if you don’t tick all the boxes – if you meet most of them, we encourage you to submit your application. We’re most interested in your strengths, what you want to learn and how far you want to go.

Diverse Team Members, Shared Values and a Common Purpose

Providing our customers with smarter solutions takes an incredible team with diversity of thought, experience and perspectives driving innovation. Inclusion is at the heart of our culture and is one of our core values. It’s about creating a workplace where everyone can do important work, feels welcome, valued, and respected, and has equal access to opportunities to thrive. Paul Chase – Chief Executive, Leidos Australia.

Leidos Australia is an equal opportunities organisation and is committed to creating a truly inclusive workplace. We welcome and encourage applications from Aboriginal and Torres Strait Islanders, culturally and linguistically diverse people, people with disabilities, veterans, neurodiverse people, and people of all genders, sexualities, and age groups.

Our five Advocacy Groups (Women and Allies Network,Young Professionals, Defence & Emergency Services, Action for Accessibility and Abilities and Pride+) provide an opportunity for team members to connect and collaborate on shared interests, and work to support and celebrate our diverse community.

Next Steps

To apply for this role, follow the links or apply via our Careers page.
Recruitment process - 1 virtual interview and/or 1 face-to-face & background checks.
Applicants may also need to meet International Traffic in Arms Regulations (ITAR) requirements. In certain circumstances this can place limitations on persons who hold dual nationality, permanent residency or are former nationals of certain countries as per ITAR 126.1.
We are committed to making our recruitment process accessible to all candidates. Please get in touch with our Careers team careers.au@au.leidos.com if you’d like to discuss any additional support during your application or throughout the recruitment process.

If you're looking for comfort, keep scrolling. At Leidos, we outthink, outbuild, and outpace the status quo — because the mission demands it. We're not hiring followers. We're recruiting the ones who disrupt, provoke, and refuse to fail. Step 10 is ancient history. We're already at step 30 — and moving faster than anyone else dares.

Original Posting

For U.S. Positions: While subject to change based on business needs, Leidos reasonably anticipates that this job requisition will remain open for at least 3 days with an anticipated close date of no earlier than 3 days after the original posting date as listed above.

Pay Range

The Leidos pay range for this job level is a general guideline onlyand not a guarantee of compensation or salary. Additional factors considered in extending an offer include (but are not limited to) responsibilities of the job, education, experience, knowledge, skills, and abilities, as well as internal equity, alignment with market data, applicable bargaining agreement (if any), or other law.

About Leidos

Leidos is an industry and technology leader serving government and commercial customers with smarter, more efficient digital and mission innovations. Headquartered in Reston, Virginia, with 47,000 global employees, Leidos reported annual revenues of approximately $16.7 billion for the fiscal year ended January 3, 2025. For more information, visit www.Leidos.com.

Pay And Benefits

Pay and benefits are fundamental to any career decision. That's why we craft compensation packages that reflect the importance of the work we do for our customers. Employment benefits include competitive compensation, Health and Wellness programs, Income Protection, Paid Leave and Retirement. More details are available at www.leidos.com/careers/pay-benefits.

Securing Your Data

Beware of fake employment opportunities using Leidos’ name. Leidos will never ask you to provide payment-related information during any part of the employment application process (i.e., ask you for money), nor will Leidos ever advance money as part of the hiring process (i.e., send you a check or money order before doing any work). Further, Leidos will only communicate with you through emails that are generated by the Leidos.com automated system – never from free commercial services (e.g., Gmail, Yahoo, Hotmail) or via WhatsApp, Telegram, etc. If you received an email purporting to be from Leidos that asks for payment-related information or any other personal information (e.g., about you or your previous employer), and you are concerned about its legitimacy, please make us aware immediately by emailing us at LeidosCareersFraud@leidos.com.

If you believe you are the victim of a scam, contact your local law enforcement and report the incident to the U.S. Federal Trade Commission.

Commitment to Non-Discrimination

All qualified applicants will receive consideration for employment without regard to sex, race, ethnicity, age, national origin, citizenship, religion, physical or mental disability, medical condition, genetic information, pregnancy, family structure, marital status, ancestry, domestic partner status, sexual orientation, gender identity or expression, veteran or military status, or any other basis prohibited by law. Leidos will also consider for employment qualified applicants with criminal histories consistent with relevant laws.

Found ""Clearance"" or ""Polygraph"". Skipping this job!
",Skipped,Not Available
4392353619,https://www.linkedin.com/jobs/view/4392353619,Previous resume,2026-03-30 13:36:07.661986,2026-04-02 13:36:12.494865,Problem in Easy Applying,Easy Apply modal did not open,Easy Applied,Not Available
4344944525,https://www.linkedin.com/jobs/view/4344944525,Pending,2026-03-03 13:37:01.581552,2026-04-02 13:37:01.616435,Found a Bad Word in About Job,"
About the job
IN A NUTSHELL

Bellroy isn’t a software company that happens to make physical products. We’re a product company, and our software exists to give us a real competitive edge. That distinction matters. It means we care about quality and craft, not just delivery speed. We build systems that solve real-world problems for our customers, our team, and our operations, and we do it with care.

We're extending the capabilities of our bespoke e-commerce platform, integrating with digital marketplaces around the world and supporting the release of exciting new carry goods. As we scale, we're looking for a developer who’s genuinely at home in functional programming – whether your background is in Haskell, Clojure, Elixir, F#, Scala, OCaml, Erlang, or similar – to help us build an elegant platform to support our growth.

We care less about which functional language you’ve used, and more about whether you think in maps, folds and algebraic data types; about types and composition; about building systems that are correct, observable and evolve gracefully. While we love pure functional programming as much as the next lambda enthusiast, we're pragmatic enough to know that sometimes a clever hack beats a perfect abstraction. The key is knowing the difference.

Your growth matters to us. Beyond our learning budget, you'll find yourself immersed in a culture of continuous learning through our hack days, company-wide learning events, and our weekly Technology Team book clubs and mob programming sessions. We've explored everything from UX classics like Don't Make Me Think to engineering fundamentals like The Pragmatic Programmer.

Bring us your problem-solving prowess and quick thinking. In return, we offer a culture where intellectual honesty isn't just encouraged, it's expected. Where autonomy isn't just promised - it's built into our workflow. Where you'll have the tools you need to turn great ideas into reality.

YOU COULD BE THE ONE IF YOU...

Have spent 2+ years writing production code in a functional language (for example Haskell, Clojure, Elixir, F#, Scala, OCaml, Erlang, or a strongly‑functional style in Rust, Kotlin or Swift)
Take pride in crafting code that's thoughtfully designed and built to last
Are more interested in mastering your craft than climbing the management ladder (though we're open to that changing as you grow with us)
Thrive in a cross-functional environment, collaborating with experts across product design, data science, logistics, and beyond
See your work as more than a paycheck - you're driven by the challenge of creating exceptional solutions
Have an insatiable curiosity for new ideas, whether they come from technical blogs or philosophy podcasts
Want to be part of a company that's using business as a force for good

WE'D BE EXTRA THRILLED IF YOU...

Have tamed Nix and lived to tell the tale
Know your way around the AWS ecosystem
Can navigate Ruby on Rails codebases (we have a slowly shrinking, legacy Rails ecosystem that interfaces with our Haskell services)

IF YOU WERE HERE LAST WEEK, YOU WOULD HAVE…

Tidied up loose ends from the project you just finished with another member of the team, and taken some time to make some of the code you wrote more elegant and maintainable
Joined the whole team in a retrospective, and helped create a shortlist of continuous improvement tasks for us to prioritise
Taken part in our bi-monthly Hack Day event, and spent a day working on something that inspires you or fixing something that annoys you
Attended our weekly Functional Programming meet to discuss some new Haskell packages and conventions we’re thinking about using
Spend time improving your skills, tooling and workflows during our weekly “cooldown” days

LOCATION AND HOURS

Work from our Collingwood (VIC) office or remotely in Australia or New Zealand - your choice.

How To Apply

Start by exploring our website and Our Story to get a feel for who we are. If you see yourself thriving here, send us your resume, a link to some of your work you are proud of and the MD5 (hexadecimal) hash of the string ""All The Things With You"".

WHY WORK FOR BELLROY?

At Bellroy, it takes a wonderfully diverse crew to make everything tick. We’re a close-knit group of thinkers and makers from over 25 different countries, each contributing unique skills to achieve our shared vision. We believe that embracing diverse backgrounds and perspectives is key to staying agile and resilient. So, even if your experience isn’t an exact match, but you feel you have something special to contribute, we’d love to hear from you.

Bellroy is committed to making our hiring process accessible to everyone, including individuals with disabilities. If you need reasonable accommodations at any stage—whether it’s applying, interviewing, completing pre-employment testing, or otherwise participating in the selection process—please contact us at careers@bellroy.com. Include your full name, the best way to reach you, and the type of accommodation you need to support you throughout the application process. We’re here to help and ensure you have the best possible experience.

Contains bad word ""Ruby"". Skipping this job!
",Skipped,Not Available
