Job ID,Job Link,Resume Tried,Date listed,Date Tried,Assumed Reason,Stack Trace,External Job link,Screenshot Name
4397429040,https://www.linkedin.com/jobs/view/4397429040,Previous resume,2026-04-04 09:40:13.863400,2026-04-04 10:06:18.788713,Problem in Easy Applying,Easy Apply modal did not open,Easy Applied,Not Available
4393035642,https://www.linkedin.com/jobs/view/4393035642,Pending,2026-04-02 10:08:03.186735,2026-04-04 10:08:03.224734,Found a Bad Word in About Job,"
About the job
Location: Melton (Hybrid)

Salary: Up to £50,000

Working hours:09:00 – 17:30

The purpose of this role is to solve complex business problems and technical challenges through the design and development of software applications and services. This role will contribute directly towards exciting technology opportunities in the public health sector; specifically in general practice.

You will be responsible for building and maintaining critical components of our software infrastructure, ensuring high performance, reliability, and security. This role sits within the platform team.

Responsibilities

Design and Development

Contribute towards the design, develop, and implement high-performance, scalable, and maintainable applications and services
Develop APIs and other web services
Work with databases (relational and NoSQL) to implement data models
Contribute towards all phases of the software development lifecycle, from design and development through to testing, deployment and monitoring & alerting

Technical Leadership

Assist and unblock other members of the team where appropriate
Conduct code reviews and provide constructive feedback
Contribute towards the development of software engineering best practices and principles
Participate in architectural and design discussions
Stay abreast of the latest technologies and industry trends

Problem-Solving

Assist with the diagnosis and assessment of complex technical issues
Identify and contribute towards solutions designed to improve service or component security, performance, scalability, and reliability

Collaboration

Work closely with frontend engineers, product managers, and other stakeholders
Share ideas and prompt continuous improvement across the team

Quality Assurance & Compliance

Write unit tests and integration tests to ensure code quality
Participate in code reviews and ensure adherence to coding standards
Comply with the company's Health & Safety, Data Protection, Information Security, PCI & DSP policies and procedures.

Essential

Skills Required

Knowledge of the product development lifecycle
Considerable working experience with modern PHP including frameworks (e.g. Laravel)
Source control (e.g. GitLab)
Working experience with structured and unstructured databases (e.g. MySQL)
Knowledge of or working experience with Message Queues (RabbitMQ) & event driven architecture
Strong knowledge of software design patterns and object-oriented design principles
Working experience of unit test frameworks and test automation

Desired

Strong expertise in Agile methodologies (e.g. Scrum / Kanban)
DevOps tooling
Node.js
Healthcare industry experience (NHS)
VOIP call handling

Benefits

25 Days Holiday plus an additional day for your birthday/equivalent
Cycle to Work Scheme
Winter Flu Jabs
Free On-Site Parking
Learning and development budget with Professional Qualification Support
£1,000 employee referral bonus
Social benefits (paid social events)
Buy Holiday Scheme
Employee Assistance Program
Discount on Health Insurance
Annual Salary Review
Enhanced Company Sick Pay
Monthly pizza in the office (Hybrid employees) / coffee voucher (Remote employees)
SCG mobile benefit

SCG is proud to be an equal opportunities employer.

 We welcome applications from all parts of the community and are committed to upholding the principles of the Equality Act 2010.

We are committed to supporting applicants with disabilities. We will endeavour to make necessary adjustments to ensure a fair and accessible recruitment process

Contains bad word ""PHP"". Skipping this job!
",Skipped,Not Available
4394393533,https://www.linkedin.com/jobs/view/4394393533,Pending,2026-04-02 10:09:11.707065,2026-04-04 10:09:11.751065,Found a Bad Word in About Job,"
About the job
Salary $77,000 - $90,000 plus Super 
Full Time Employment

About Quantaco

Hospitality moves fast the tools should keep up too. At Quantaco, we’re building technology that empowers hospitality businesses to work smarter, not harder. No more disconnected systems that slow you down and create extra work.

Australia’s only locally owned and operated Hospitality Management System, designed to simplify processes, save time, and deliver actionable insights for venues of any size.

Our suite of software and service solutions is optimised to work best together but designed to function independently, delivering the actionable insights and financial reporting pubs, clubs, and restaurants need to thrive.

We empower businesses through expert accounting services, real-time reporting, and connected hospitality operations tools. These tools simplify work, save time, and help venues make decisions that drive growth whether it’s one venue or one hundred.

About The Role

The primary purpose of the Software Developer is to manage the design, installation, testing and maintenance of software systems for our Cooking the Books (CTB) design suite.

This role will be responsible for excellent technical support and the development of software improvements for existing CTB programs or providing entirely new programs for release to the market.

What You’ll Do

Maintain and improve the performance of CTB’s existing software and maintain its’ websites, in-house hardware and network systems

Test, maintain and recommend software improvements to ensure strong functionality and optimisation

Review current systems and identify ideas to improve system performance and impact availability, including cost proposals

Facilitate root cause analysis of system issues and faults;

Resolve complex technical design issues;

Test new products or software improvement releases in a controlled environment before going live;

Proactively seek to continuously understand the design characteristics offered by key competitors; developing design concepts that surpass competitors;

Work closely with analysts, designers and staff to ensure programs operate effectively;

Assist with the preparation of training manuals for users;

Analyse user requirements and convert requirements to design documents;

Provide comprehensive support to internal customers, including achieving resolution to outstanding problems or issues;

Develop and implement new software;

Assist the Marketing department with preparation of digital design collateral in line with CTB’s brand guidelines;

Automate repetitive technical tasks

About You

You are organised and a fast learner

You have a mature, design-led approach to software development

Integrity, honesty, trust, and respect

Self-motivated, but you love working in a team

Innovative and always looking for ways to improve

You’re an effective communicator, patient, and able to explain your point of view

Have a degree in Computer Science or equivalent

Have 2+ years’ experience in C# and.Net Framework;

Possess strong technical knowledge of web technologies (Javascript, CSS, HTML, etc.);

Are proficient in C#, ASP.NET MVC and Web API

Have knowledge of ASP.NET Core, ADO.net and ORMs (EntityFramework, Dapper.net, NHibernate)

Have knowledge of Databases: SQL Server, PostgreSQL (Store Procedures, and NoSql: Redis and MongoGB)

Are proficient in JavaScript frameworks: AngularJs, VueJs, and ExtJs

Possess knowledge of Microsoft Azure cloud platform (App Service, Service Bus, Service Fabric)

Have experience with Source Code Control: SVN and GIT

Have a demonstrated understanding of projects from the perspective of both client and busines

Possess proficient verbal and written communication skills;

Have effective time management skills and the ability to meet deadlines

Have the ability to solve problems by being collaborative, creative and analytical

Why Join Us?

At Quantaco, we’re passionate about building technology that solves real-world problems in hospitality. Our team is collaborative, curious, and committed to making an impact and we want you to grow with us.

Reward: Competitive salary + up to 20% discretionary performance bonus
Wellbeing: Hybrid working, birthday leave, and wellness discounts through our benefits portal
Culture: Fortnightly collaboration days, social calendar, team events, peer recognition, and a strong commitment to inclusion
Growth: Study assistance, a structured development framework, and our Women at Quantaco initiative to support diverse career progression

Ready to build the future of hospitality tech?

Apply now or reach out for a confidential chat. We’d love to meet you.

Quantaco Pty Ltd, Level 4 / 6 O'Connell Street Sydney NSW 2000

Contains bad word "".NET"". Skipping this job!
",Skipped,Not Available
4393094573,https://www.linkedin.com/jobs/view/4393094573,Pending,2026-04-03 10:09:35.233816,2026-04-04 10:09:35.291817,Found a Bad Word in About Job,"
About the job
Design, build and improve web applications that matter.

Join ACER’s Software Development team as a Front‑End Developer on a 6‑month fixed‑term, full‑time contract, collaborating on digital solutions that support education and research on a global scale.

This role is aligned to a time‑sensitive project for a prominent Australian client, offering an exciting opportunity to contribute to innovative, high‑impact interactive assessment solutions.

ABOUT ACER
The Australian Council for Educational Research (ACER) is an international, independent, not‑for‑profit organisation committed to improving learning through world‑class research, assessments and digital innovation. With around 400 staff across Australia, India, Malaysia, the UAE and the UK, ACER delivers impactful educational solutions worldwide.
Our Software Development team, within the Information Technology Division, works collaboratively across ACER to design, build and maintain high‑quality digital products that enable meaningful research and assessment programs.

ABOUT THE ROLE
We are looking for a mid‑level Front‑End Developer with strong JavaScript skills to support a critical project delivering interactive assessments.

In this role, you will:
Build interactive assessment modules based on established designs
Contribute to solution design, development and quality assurance
Take ownership of code quality, accessibility, security and maintainability
Troubleshoot and resolve issues as they arise

You’ll work closely with the Lead Software Engineer, Assessment Developers, UX Designers and Software Testers as part of a supportive, collaborative team.

WHAT YOU'LL BRING

Essential experience and skills:
3+ years’ commercial experience in JavaScript front‑end/web development
Strong object‑oriented design and development skills
Experience developing high‑quality, interactive web interfaces
Experience with PHP and/or Java in a commercial environment
Solid database design and SQL knowledge
Understanding of modern software development lifecycles and practices
Ability to deliver to project timelines in a self‑managed way
Clear communication skills and strong attention to detail

Qualifications:
Bachelor’s degree in Computer Science (or equivalent experience)

ABOUT YOU
You’re a capable and adaptable developer who enjoys working in a fixed‑term, project‑based role. You take pride in quality work, communicate clearly, and value collaboration within a technical team.

WHY JOIN ACER?
Purpose‑driven organisation with global impact
Inclusive, collaborative and values‑led culture
Opportunity to contribute to meaningful digital initiatives over a defined period

HOW TO APPLY
Be part of software development that supports better learning outcomes worldwide.
👉 Apply via LinkedIn or view the full position description at:
https://www.acer.org/au/about-us/careers

Applications close: Thursday, 16 April 2026 at midnight (AEST)

ACER is an equal opportunity employer committed to diversity, inclusion and accessibility. Aboriginal and/or Torres Strait Islander people are encouraged to apply. Adjustments can be requested at any stage of the recruitment process by contacting p&c@acer.org.

Contains bad word ""PHP"". Skipping this job!
",Skipped,Not Available
4393408184,https://www.linkedin.com/jobs/view/4393408184,Pending,2026-04-03 10:10:13.399489,2026-04-04 10:10:13.482488,Found a Bad Word in About Job,"
About the job
Watch this ⤵️! Our Head of Engineering explains why we’re hiring for this role:
https://www.loom.com/share/a138d9daba1649b58b2cc343b485a4b1

About ProcurePro
Mission > To save 1 BILLION construction admin hours.
What we do > Our market leading technology helps major builders contract with their supply chain by consolidating fragmented and manual procurement processes into a single platform (currently solved by Word, Excel & email).
Recent News: Funding → by Australia’s premier venture capital fund Airtree, recently raised $6.15m in 2023: https://shorturl.at/vUpBX
2024 & 2025 LinkedIn Top Startups, https://tinyurl.com/y5eeucww
Put on Unicorn watch list of QLDs startups, https://shorturl.at/53yWH
Deloitte’s Tech Fast 50 in 2025 - https://tinyurl.com/4p7t72bn

Values we live by
Better people build better companies
Whole arse it, with ruthless pragmatism
Help the customer win
(We’ll tell you more about these as discussions progress)

Our Product-Led strategy
We’re Founded by Developers and Designers (as well as domain experts) - technical excellence is in our DNA. This means:
We spend time up front properly designing new work, testing with customers etc, whilst solving fun technical problems.
We continually invest in testing/quality - we’ve written 10,000+ automated tests in the last 2 years, we're huge advocates for static analysis & type safety, and our infrastructure is automated with Terraform.
Our entire team (including our CEO) is bought into this mindset, as we're reaping the rewards of shipping quality code, avoiding re-work & moving fast as a team.
We're actively rebuilding our processes to be AI-native, not just AI-assisted, and we want engineers who wants to help shape this transition

Our Tech Stack
Backend is Symfony 6 + PHP 8
Frontend is 100% Typescript + Aurelia
Some AWS Lambda functions written in Typescript
Dozens of different testing, code quality and static analysis tools
Infrastructure is managed with Terraform on top of AWS
You don't need experience in all of these technologies to succeed - we look for curious folks with growth mindsets and an interest to work with this stack.

Key aspects of this role
Ship quality features end-to-end > own work from shaping through to deployment and beyond, with tests written as part of the process, not bolted on after
Be an active voice in design phase > contribute during the upfront design phase alongside developers, designers, the product lead, and users; your technical perspective should influence what gets built and how
Use AI as a force multiplier > leverage AI tooling throughout your entire workflow, from investigation to implementation to review; the expectation is fluency, not occasional use
Maintain and raise the quality bar > contribute to our testing culture, engage with static analysis and type safety tooling, and help us keep the codebase in a state we're proud of
Help grow the team around you > work closely with junior developers, share context generously, and contribute to a culture where the whole team gets better
Think critically, not just technically > push back on unclear requirements, ask why before writing code, and bring your judgment to product and architectural decisions, not just implementation

You’re ideal for the role if you have…
2+ years as a software engineer > ideally in a SaaS product environment where you've owned features end-to-end
AI Native Fluency > you use AI tools throughout your entire workflow, not just when you're stuck; you can talk concretely about how you use them & where you apply judgment
Modern frameworks > Experience/familiarity with modern Javascript/TypeScript frameworks (Vue / React / Angular / Aurelia) and/or modern PHP (Symfony / Laravel / CodeIgniter) - we expect some up-skilling/cross-skilling
Quality-obsession > you're excited by test-driven development, static analysis, and building things properly; quality isn't a chore to you, it's how you work
Enthusiastic problem solver > excited by solving technical challenges and building a product with a heavy focus on quality (test-driven development, infrastructure as code etc)
Critical thinking skills > you challenge vague specs, understand the problem before reaching for a solution, and bring genuine reasoning to decisions
Growth-oriented and mission-driven > you're hungry to improve, open to feedback, and want to grow with a scaling business; you thrive in a fast paced, ambiguous environment

Our culture
Remote First - work from anywhere in Australia - we were remote-first before Covid, have established processes around collaboration/culture to ensure inclusiveness & engagement.
Socials - We have regular online social events, quarterly in person socials & hold annual off-sites in person.
Team First - we’re close knit, highly collaborative, actively help each other succeed (knowledge sharing, training) to develop our teams’ capabilities
High Expectations - we’re self motivated, embrace velocity as our greatest advantage, take pride in what we do and push to reach our potential.
Radical Transparency - we believe in flat structures & sharing knowledge, everyone is privy to what happens day-to-day and nothing is hidden (i.e. company strategy, finances & all).
Extra Leave Days - A day off for your Birthday and an extra day off before Christmas

Compensation
$100k-120k + Super (salary based on experience)
Computer equipment allowance to ensure you have everything you need to be successful working remotely

How to apply
Hit Apply and fill out the form with your information, CV and answer to the question ""Why do you want to work for ProcurePro?”

What happens next
Shortlisted applicants will have an introductory call [20 mins]
You’ll receive a short assessment to complete [~ 2 hours]
Assessment presentation and discussion call [~1.5 hour]
If successful, we will check references & make you an offer!

Extras:
All our interviews are recorded and shared internally with the CEO and hiring manager. We do this so that our team can make better decisions.
Applications are reviewed on a rolling basis, so speed is key. The sooner you apply, the better!
If you love the sound of working for us and the role described but the title/salary doesn’t align to your experience, please don’t let that stop you applying. We celebrate diversity and we want people of all genders, races, ages, backgrounds, beliefs, and life experiences to join our team.
We complete police checks or the equivalent once you join as part of our SOC2 compliance requirements.
We cannot sponsor visas. You must be based in the country of the advertised role and have the right to work independently. Otherwise, we cannot proceed with your application. Yes, we are remote, but we can only employ in the country advertised.

Contains bad word ""PHP"". Skipping this job!
",Skipped,Not Available
4394233336,https://www.linkedin.com/jobs/view/4394233336,Previous resume,2026-04-04 09:10:37.972778,2026-04-04 10:10:42.886771,Problem in Easy Applying,Easy Apply modal did not open,Easy Applied,Not Available
4392472448,https://www.linkedin.com/jobs/view/4392472448,Pending,2026-04-01 10:10:52.093702,2026-04-04 10:10:52.137702,Required experience is high,"
About the job
About Zero to Claw
Zero to Claw is a white-glove OpenClaw setup and automation service. We deploy security-hardened, production-ready OpenClaw AI agents for businesses. Our clients range from solo operators who want a tireless digital assistant to small teams who need agents handling email triage, meeting prep, CRM workflows, and cross-app automation.
Our founders bring deep experience: Jake has led $100M+ in business transformation, and Daniel is a former Atlassian Engineer with 6+ years shipping Jira, Bitbucket, and Confluence to millions of users.

The Role
We need someone to help us deliver custom OpenClaw workflows for our clients and maintain their running instances. You'll be the person who takes a client's messy ""I want my AI to do X when Y happens"" request, figures out how to wire it up in OpenClaw, builds it, tests it, and makes sure it keeps running. You'll also handle troubleshooting when things break — a misconfigured MCP server, a flaky WhatsApp integration, a gateway auth issue, an agent that's burning through API credits. You'll be deploying, configuring, integrating, and debugging real systems for real clients on real deadlines.

What you'll do
Connect OpenClaw to client tools — Gmail, Notion, Slack, Jira, Salesforce, databases, and hundreds more
Build custom workflows and skills when off-the-shelf integrations don't cut it
Troubleshoot live client instances — broken integrations, runaway API costs, flaky messaging channels, agent misbehaviour
Talk to clients, understand what they need, and translate that into working automation

What will help you succeed
Comfort in a terminal — SSH, config files, logs, basic server admin
Some experience with any programming language — enough to read code, write scripts, and hit APIs
Basic understanding of networking — ports, firewalls, DNS
Familiarity with Docker
Clear communication — you'll explain technical things to non-technical people regularly
A bias toward figuring things out over waiting to be taught

Bonus points
You've played with OpenClaw, MCP, or any AI agent framework
You've deployed something to a VPS or cloud instance before
You know your way around monitoring tools (Langfuse, Grafana, etc.)
You have opinions about LLMs, tokens, and model routing
You've built a bot, a home server, a Raspberry Pi project, or anything that proves you like tinkering

You don't need to tick every box. If you're curious, resourceful, and excited about AI agents — we'd rather hear from you than not.

Why join us
You'll get production experience with AI agents that most people only read about. You'll work directly with two founders — one from Atlassian engineering, one from enterprise strategy — who'll give you real responsibility from day one, not busywork. And you'll be joining at the ground floor of a company in one of the fastest-moving spaces in tech.

To apply
Send an email to join@zerotoclaw.ai with a short note about why this interests you, your resume/LinkedIn, and ideally one example of something technical you've built or deployed (a side project, a home server, a bot, anything that shows you can ship).

Experience required 6 > Current Experience 5. Skipping this job!
",Skipped,Not Available
4383067854,https://www.linkedin.com/jobs/view/4383067854,Pending,2026-04-03 15:10:57.550553,2026-04-04 10:10:57.591553,Found a Bad Word in About Job,"
About the job
See yourself being part of a large, transformational change? This could be the role for you!

At Iress, we make things happen

We believe technology should help people perform better every day. Since our beginning in 1993, people across financial services have trusted us to take their performance to the next level. More than 10,000 businesses and 500,000 people use our software, from the world’s most iconic financial services brands to advice firms of all sizes, banks, insurers, investment managers, traders and brokers. Iress is one of Australia’s largest technology companies and employs more than 1,100 people across Australia, The United Kingdom, Africa, Canada, New Zealand and Asia.

Build your career at Iress! 

Iress is looking for a Software Engineer who can join a newly formed team of experienced engineers and product specialists to take our in-house Financial Application Platform to global scale. The platform provides the ability for teams to host financial widgets within our flagship desktop and web-based trading and market data applications. This is an opportunity to have global impact in a rapidly transforming industry. You’ll be working in a small, focused team using agile and DevOps practices with experienced engineers.

When you walk through our doors, you’ll start by helping improve the runtime performance and scalability of the platform to ensure that our early adopter clients have a great experience.

Some of the amazing things you’ll be involved in:

You’ll be productionising the cloud-based components to support global scale.
You’ll be working with senior developers on the platform and learning technical governance that promotes high-quality, security and dev practices.
You’ll be working closely with senior developers to design the processes and implement the tools needed to achieve continuous delivery of widgets.
You’ll learn tools, scaffolding and proven patterns to make developing new widgets a painless process.
You’ll be helping with the quality and test automation practices

Working With a Broad Set Of Technologies, Including

Core Frontend: Strong proficiency in React.js, TypeScript, HTML5, and CSS3.
JavaScript tools and libraries such as Webpack, Lerna, Jest, Yeoman, NodeJS
CSS and CSS frameworks
Chromium Embedded framework
API Integration: Experience consuming RESTful APIsl.
Backend Familiarity: Knowledge of .NET is highly desirable, and experience with Node.js is a required for current widget backend setup
Cloud tech such as Terraform, AWS, Docker
Github, Buildkite, Artifactory, Datadog, Sonarqube 
Bonus: Familiarity with testing (Jest, React Testing Library) and NoSQL databases like DynamoDB.

What You Will Bring

You will have a lot of empathy for the users of your software and care deeply about providing a great experience.
Developer productivity is a core concern to you, whether it’s optimising your own workflows or working with senior engineers on tooling and techniques, to save engineers from pain and frustration and bring joy to their workflow.
You strongly value the non-functionals: quality, performance, scale, security. 
You’ll learn to be an expert with the JavaScript ecosystem and building web apps.

Why work with us?

8 additional paid days per year to extend your weekends
Hybrid working
Generous cash bonus for every successful referral
Starting school leave - 8.5 days of leave to assist your children with the transition to school
Up to 26 weeks’ paid parental leave for primary carers (up to 4 weeks for secondary carers), and the ability to work part-time when returning to work
3 days’ paid leave per year to participate in charity initiatives
Discounted health insurance premiums
Access to learning and development programs through LinkedIn Learning

Iress is committed to fostering a welcoming and inclusive culture. We strongly believe that diversity is what makes our teams and our products succeed. Our people have different experiences, skills, perspectives and beliefs and everyone’s uniqueness is valued and celebrated.

Our hiring decisions are never based on sexual orientation, race, gender identity, religion, disability, citizenship, marital or family status and age. Even if you feel you don’t meet all of the requirements of the role, we would still like to hear from you!

We’re also proud to be globally recognised as a WORK180 Endorsed Employer that promotes and supports all women in the workplace.

For more information about what we do, our people and values, please visit our website - https://www.iress.com/join-us/careers/

Employment Type

Employee

Time Type

Full time

Contains bad word "".NET"". Skipping this job!
",Skipped,Not Available
4393079915,https://www.linkedin.com/jobs/view/4393079915,Pending,2026-04-02 10:15:41.428884,2026-04-04 10:15:41.469881,Found a Bad Word in About Job,"
About the job
Our client is currently seeking experienced Python Developer to support a federal government program delivering a complex data management system used across international partners. This role will focus on the ongoing development, enhancement, and support of a web-based platform managing meteorological and ocean data.

You will work within a collaborative team environment, contributing to system development, cloud deployment, technical documentation, and stakeholder engagement across both local and international users.

Accountabilities and Responsibilities:
Design, develop, and maintain a web-based data management system across the full stack
Manage the end-to-end software development lifecycle, including design, build, testing, deployment, and support
Work with technologies including Python, PostgreSQL, JavaScript, and PHP
Support deployment and maintenance across on-premise and AWS cloud environments
Develop and maintain technical documentation and training materials
Deliver training and provide support to technical and non-technical users
Collaborate with internal teams and international stakeholders to enhance system capabilities
Support data ingestion, validation, and quality assurance processes

 Skills and experience we are looking for:
Strong experience as a Full-Stack Developer within web-based application environments
Proficiency in Linux (Ubuntu), PostgreSQL, Python, HTML/PHP, and JavaScript
Experience working with cloud platforms, particularly AWS
Experience across the full software development lifecycle in complex environments
Strong problem-solving skills and ability to work autonomously
Excellent communication skills with the ability to engage with a broad range of stakeholders
Must be an Australian Citizen to be considered.

 Highly regarded:
Experience working with data-intensive systems or scientific/environmental datasets
Experience developing training materials and delivering technical training
Exposure to government or international program environments
Willingness and ability to undertake short-term international travel
If you would like to know more, please contact Milly Kerei-Keepa on 0476865411/milly.kerei-keepa@talentinternational.com or hit Apply Now

Contains bad word ""PHP"". Skipping this job!
",Skipped,Not Available
4397429040,https://www.linkedin.com/jobs/view/4397429040,Previous resume,2026-04-04 09:39:57.952462,2026-04-04 10:18:03.760468,Problem in Easy Applying,Easy Apply modal did not open,Easy Applied,Not Available
