Date,Company Name,Position,Job Link,Submitted,HR Name,HR Position,HR Profile Link,HR Email,HR Secondary Email,HR Email Preview,HR Contact,HR Contact Preview,RocketReach Status
,Pure Cosmeceuticals Pvt. Ltd,Operations Analys,https://www.linkedin.com/jobs/view/4399387403,Applied,,,,,,,,,missing_hr_link
,Crossing Hurdles,Data Quality Annotator | $30/hr Remote,https://www.linkedin.com/jobs/view/4395428507,Applied,Sankalp Chhabra,3rd,https://www.linkedin.com/in/sankalpchhabra,,,,,,lookup_quota_reached
13/04/2026,talisman,Power Market Analyst,https://www.linkedin.com/jobs/view/4400357747,Applied,Bradley Newton,3rd,https://www.linkedin.com/in/bradleygnewton,,,,,,lookup_quota_reached
13/04/2026,Morgan McKinley,Data Scientist,https://www.linkedin.com/jobs/view/4387306637,Applied,Simeon Evans,3rd,https://www.linkedin.com/in/simeon-evans,,,,,,lookup_quota_reached
13/04/2026,BK Giulini Food Specialties,Senior Tast Analys,https://www.linkedin.com/jobs/view/4399383548,Applied,gayatri gawali,3rd,https://www.linkedin.com/in/gayatri-gawali-39bb91104,,,,,,lookup_quota_reached
13/04/2026,Just Digital People,Senior Data Scientist,https://www.linkedin.com/jobs/view/4384952856,Applied,Natalie Youkhana,2nd,https://www.linkedin.com/in/natalie-youkhana,,,,,,lookup_quota_reached
13/04/2026,KPMG Australia,Associate Director - Data Analytics,https://www.linkedin.com/jobs/view/4386303231,Applied,Richa and others in your network,Show all,,,,,,,no_match
13/04/2026,Innodata Inc.,Data & Image Annotation Specialist,https://www.linkedin.com/jobs/view/4398851463,Applied,NTT DATA logo,Company alumni from NTT DATA and others in your network,,,,,,,no_match
13/04/2026,Banking and Finance Industry,Senior Analytics Consultant - GCP - Snowflake - Databricks,https://www.linkedin.com/jobs/view/4397680727,Applied,,,,,,,,,missing_hr_link
13/04/2026,The Talent Initiative,Data Modeler,https://www.linkedin.com/jobs/view/4399105929,Applied,Dan Nuroo,1st,https://www.linkedin.com/in/dannuroo,,,,,,lookup_quota_reached
13/04/2026,Easygo,Lead Data Analyst - Marketing,https://www.linkedin.com/jobs/view/4399825877,Applied,,,,,,,,,missing_hr_link
13/04/2026,Discovered People,Senior Data Scientist,https://www.linkedin.com/jobs/view/4399203929,Applied,Jan L.,3rd,https://www.linkedin.com/in/michaelbea,,,,,,lookup_quota_reached
13/04/2026,Cox Purtell Staffing Services,Senior Data Scientist,https://www.linkedin.com/jobs/view/4388678084,Applied,Rupert Turner,2nd,https://www.linkedin.com/in/rupertturner,,,,,,lookup_quota_reached
13/04/2026,Ai Talent Australia,Senior Data Scientist,https://www.linkedin.com/jobs/view/4398489338,Applied,,,,,,,,,missing_hr_link
13/04/2026,BS Marketing Services,Business Analys (Entry / Junior),https://www.linkedin.com/jobs/view/4399124009,Applied,Shirsendu Chakraborty,3rd,https://www.linkedin.com/in/shirsenduc,,,,,,lookup_quota_reached
13/04/2026,Crossing Hurdles,Data Annotator | $30/hr Remote,https://www.linkedin.com/jobs/view/4395421618,Applied,Sankalp Chhabra,3rd,https://www.linkedin.com/in/sankalpchhabra,,,,,,lookup_quota_reached
13/04/2026,Crossing Hurdles,Data Analyst (Vietnamese) | $11/hr Remote,https://www.linkedin.com/jobs/view/4376989421,Applied,,,,,,,,,missing_hr_link
13/04/2026,Crossing Hurdles,Data Annotator (Greek) | $15/hr Remote,https://www.linkedin.com/jobs/view/4392878374,Applied,,,,,,,,,missing_hr_link
13/04/2026,Crossing Hurdles,Data Annotator (Romanian) | $15/hr Remote,https://www.linkedin.com/jobs/view/4393412320,Applied,,,,,,,,,missing_hr_link
13/04/2026,BB-Banco de Investimento (BB-BI),Data Analys (Entry / Junior),https://www.linkedin.com/jobs/view/4399392645,Applied,Tanishque Jain,3rd,https://www.linkedin.com/in/thetanishquejain,,,,,,lookup_quota_reached
14/04/2026,Media & PR Folks,Data Analys (Entry / Junior),https://www.linkedin.com/jobs/view/4399576878,Applied,,,,,,,,,missing_hr_link
14/04/2026,PM Plastics Inc,Operations Analys,https://www.linkedin.com/jobs/view/4400076401,Applied,,,,,,,,,missing_hr_link
14/04/2026,Octopus Australia,Energy Market Analyst - Octopus Australia,https://www.linkedin.com/jobs/view/4398438071,Applied,,,,,,,,,missing_hr_link
14/04/2026,Talent,Data Migration Analyst,https://www.linkedin.com/jobs/view/4399150026,Applied,Milly Kerei-Keepa,1st,https://www.linkedin.com/in/milly-kerei-keepa-65551230a,,,,,,lookup_quota_reached
14/04/2026,CA Articleship/Industrial,Senior Data Analys,https://www.linkedin.com/jobs/view/4399573774,Applied,Momen Ahmed,3rd,https://www.linkedin.com/in/momen-ahmed-1a8a15167,,,,,,lookup_quota_reached
14/04/2026,Healthcare Professionals Group,Senior Data & Insights Analyst,https://www.linkedin.com/jobs/view/4401082042,Applied,Natalia Fiocca,2nd,https://www.linkedin.com/in/natalia-fiocca-68236052,,,,,,lookup_quota_reached
14/04/2026,Crossing Hurdles,AI Data Annotator | Remote,https://www.linkedin.com/jobs/view/4397235283,Applied,Sankalp Chhabra,3rd,https://www.linkedin.com/in/sankalpchhabra,,,,,,lookup_quota_reached
14/04/2026,Innodata Inc.,Data Annotation Specialist,https://www.linkedin.com/jobs/view/4398842697,Applied,NTT DATA logo,Company alumni from NTT DATA and others in your network,,,,,,,no_match
14/04/2026,Crossing Hurdles,Data Analyst (Annotation) | $30/hr Remote,https://www.linkedin.com/jobs/view/4395443256,Applied,Sankalp Chhabra,3rd,https://www.linkedin.com/in/sankalpchhabra,,,,,,lookup_quota_reached
14/04/2026,Purbanchal University (PU) / पूर्वाञ्चल विश्वविद्यालय,Business Analys (Junior / Entry-Level ),https://www.linkedin.com/jobs/view/4400084498,Applied,Terry Dinkins Jr,3rd,https://www.linkedin.com/in/terry-dinkins-jr-8255475a,,,,,,lookup_quota_reached
14/04/2026,Media & PR Folks,Data Analys (Entry / Junior),https://www.linkedin.com/jobs/view/4401573769,Applied,,,,,,,,,missing_hr_link
14/04/2026,EL Saeed Law firm مكتب السعيد للمحاماة,Junior Data Analys,https://www.linkedin.com/jobs/view/4399711345,Applied,Shrikant Khating,3rd,https://www.linkedin.com/in/shrikant-khating,,,,,,lookup_quota_reached
14/04/2026,DIXON APPOINTMENTS | Recruitment Agency,Senior Data Scientist,https://www.linkedin.com/jobs/view/4399571750,Applied,Hasib profile photo,Hasib Alam,https://www.linkedin.com/in/hasib-alam-b58987214,,,,,,lookup_quota_reached
14/04/2026,Resources Group,Shopper and Category Insights Analyst – Retail & FMCG,https://www.linkedin.com/jobs/view/4400082927,Applied,Rowan Haylett,2nd,https://www.linkedin.com/in/rowanhaylett,,,,,,lookup_quota_reached
